Rank,Name,Year,Cast,Rating,Link
191,Le salaire de la peur,1953,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel",8.1,www.imdb.com/title/tt0046268/
192,Mr. Smith Goes to Washington,1939,"Frank Capra (dir.), James Stewart, Jean Arthur",8.1,www.imdb.com/title/tt0031679/
193,Sherlock Jr.,1924,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire",8.1,www.imdb.com/title/tt0015324/
194,Hacksaw Ridge,2016,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington",8.1,www.imdb.com/title/tt2119532/
195,Salinui chueok,2003,"Bong Joon Ho (dir.), Song Kang-ho, Kim Sang-kyung",8.1,www.imdb.com/title/tt0353969/
196,Klaus,2019,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons",8.1,www.imdb.com/title/tt4729430/
197,Relatos salvajes,2014,"Damián Szifron (dir.), Darío Grandinetti, María Marull",8.1,www.imdb.com/title/tt3011894/
198,Det sjunde inseglet,1957,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand",8.1,www.imdb.com/title/tt0050976/
199,Everything Everywhere All at Once,2022,"Dan Kwan (dir.), Michelle Yeoh, Stephanie Hsu",8.1,www.imdb.com/title/tt6710474/
200,Room,2015,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay",8.1,www.imdb.com/title/tt3170832/
201,Mad Max: Fury Road,2015,"George Miller (dir.), Tom Hardy, Charlize Theron",8.1,www.imdb.com/title/tt1392190/
202,How to Train Your Dragon,2010,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler",8.1,www.imdb.com/title/tt0892769/
203,The Big Lebowski,1998,"Joel Coen (dir.), Jeff Bridges, John Goodman",8.1,www.imdb.com/title/tt0118715/
204,Mary and Max.,2009,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman",8.1,www.imdb.com/title/tt0978762/
205,Jaws,1975,"Steven Spielberg (dir.), Roy Scheider, Robert Shaw",8.1,www.imdb.com/title/tt0073195/
206,"Monsters, Inc.",2001,"Pete Docter (dir.), Billy Crystal, John Goodman",8.1,www.imdb.com/title/tt0198781/
207,Tôkyô monogatari,1953,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama",8.1,www.imdb.com/title/tt0046438/
208,Dead Poets Society,1989,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard",8.1,www.imdb.com/title/tt0097165/
209,La passion de Jeanne d'Arc,1928,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain",8.1,www.imdb.com/title/tt0019254/
